index,sentence
1955,Die Mona-Lisa in der Galerie ist natürlich nur eine Kopie.
1956,Die Mumie im Sarg war noch gut erhalten.
1957,"Die Mutter steuerte bewusst eine Kasse an, an der keine Quengelware angeboten wurde."
1958,Die Möglichkeiten sind mannigfaltig.
1959,"Die Möwen wissen genau, was die Fischer in ihren Netzen haben."
1960,Die Münzprägung musste ebenfalls aufgegeben werden.
1961,"Die Müritz ist der größte See, der komplett innerhalb der Bundesrepublik liegt."
1962,Die Naht ist nicht gut geworden.
1963,Die Natur ist ein Kreislauf.
1964,Die Natur ist schon brutal.
1965,Die Neiße fließt in die Oder.
1966,"Die Nockenwelle steuert, wann welches Ventil geöffnet wird."
1967,"Die Nonne hielt sich ihren Zeigefinger vor den geschlossenen Mund, um zu signalisieren, dass hier Schweigepflicht bestand."
1968,Die Nordpassage ist eisfrei.
1969,Die Notaufnahmen von Krankenhäusern sind häufig überlastet.
1970,"Die Nutzpflanzen wiederum filtrieren und reinigen das Abwasser, welches dann zurückgeführt werden kann."
1971,Die Oder mündet in die Ostsee.
1972,Die Ofenform sollte zunächst eingefettet werden.
1973,Die Paketverwaltung hat eine zyklische Abhängigkeit entdeckt.
1974,Die Parkscheibe lässt sich notfalls auch als Eiskratzer benutzen.
1975,Die Pferde sind gesattelt.
1976,Die Pflaumenernte beginnt nächsten Monat.
1977,Die Planer kriegen das mit der Verkehrswegebündelung immer noch nicht auf die Kette.
1978,"Die Polizei ist weder gewillt, noch dazu in der Lage, mit meinen Daten vernünftig umzugehen."
1979,Die Polizei konnte den Anrufer dingfest machen.
1980,Die Preise für Solarenergie sind in den letzten Jahren gesunken.
1981,"Die Proportionen stimmen nicht, stellte Astrid fest."
1982,Die Präambel ist vom Präsidenten höchstpersönlich verfasst und unterschrieben.
1983,Die Präventionsprogramme scheinen zu wirken.
1984,Die Psychologie-Prüfung wird am zweiundzwanzigsten Februar um neun Uhr stattfinden.
1985,"Die Pulsweitenmodulation ist der Hauptgrund, warum Elektromotoren Geräusche machen."
1986,Die Ratten verlassen das sinkende Schiff.
1987,Die Razzia begann morgens um halb sechs.
1988,Die Reaktion des Publikums wurde natürlich vor der Sendung eingeübt.
1989,Die Reaktion von weißem Phosphor mit Sauerstoff ist stark exotherm.
1990,Die Regenwälder in Äquatornähe gelten als die Lunge der Erde.
1991,"Die Rettungsgasse ermöglicht es Rettungskräften, schnell zum Einsatzort zu gelangen."
1992,"Die Roboter arbeiten ohnehin so präzise, dass man keinen Unterschied in der Qualität feststellen kann."
1993,Die Rotation von Gradientenfeldern beträgt stets null.
1994,Die Route führt am alten Bunker vorbei.
1995,Die Rüstung schepperte blechern.
1996,Die S-Bahn wartet nicht auf uns.
1997,Die Sache hat allerdings einen Haken.
1998,Die Sahara ist die größte Wüste der Welt.
1999,"Die Sahne muss so lange geschlagen werden, bis sie steif ist."
2000,Die Samen sind besonders reichhaltig an ungesättigten Fettsäuren.
2001,Die Satellitenschüssel ist falsch ausgerichtet.
2002,"Die Schale von Eiern ist hart, während das Innere klebrig ist."
2003,Die Schaltfläche ist ausgegraut.
2004,Die Scharfschützen sind in Position.
2005,Die Schilderungen seiner Enkelin hatte er als blühende Fantasie abgetan.
2006,"Die Schlange war sehr lang, deswegen hat es so lange gedauert."
2007,"Die Schnellrestaurant-Kette wird verdächtigt, ihre Mitarbeiter zu bespitzeln."
2008,Die Schrift ist nur undeutlich zu erkennen.
2009,Die Schufa stuft ihr genaues Berechnungsmodell als Betriebsgeheimnis ein.
2010,Die Segel sind gesetzt.
2011,Die Sicherheitslücke wurde nach zwei Jahren noch immer nicht geschlossen.
2012,Die Siebensegmentanzeige ist defekt.
2013,Die Situation droht zu eskalieren.
2014,Die Sommerferien beginnen dieses Jahr schon im Juni.
2015,Die Sonderwirtschaftszone Shenzhen grenzt direkt an Hongkong.
2016,Die Sonne wird die Erde eines Tages verschlingen.
2017,Die Sparkasse wird gerade überfallen.
2018,Die Spinne hat mehr Angst vor dir als du vor ihr.
2019,Die Späher werden sicher schnell eine seichte Stelle im Gewässer gefunden haben.
2020,Die Spüle muss weiter nach rechts.
2021,Die Spülmaschine ist fertig.
2022,Die Stadt Aachen verteilt bereits vorsorglich Jodtabletten.
2023,Die Stadt Bangalore gilt als das „Silicon Valley Indiens“.
2024,Die Stadt Buxtehude gibt es wirklich.
2025,Die Stadt Luxemburg ist die Hauptstadt von Luxemburg.
2026,Die Stadt befindet sich an einer seichten Querung des Flusses.
2027,Die Stadt erkannte eine militärische Bedrohung aus dem Osten.
2028,Die Stadt war einst sehr berühmt für ihre jährlichen Feste.
2029,Die Stadt wurde zum zweiten Mal eingenommen.
2030,Die Stadtmauer steht unter Denkmalschutz.
2031,Die Statistik lässt keine klare Präferenz erkennen.
2032,Die Steine sind in einem Kreis angeordnet und in der Mitte steht ein Springbrunnen.
2033,Die Stelle ist stark angeschwollen.
2034,Die Stelle könnte sich entzünden.
2035,Die Stelle wurde in der deutschen Fassung zensiert.
2036,Die Sterne funkeln in dieser Nacht ganz besonders prachtvoll.
2037,"Die Steuer wurde von jedem eingezogen, der die Stadt während des Festes betreten wollte."
2038,Die Stornogebühren sind unverschämt hoch.
2039,"Die Stoßstange war übersät von Schäden, die beim Einparken entstanden sind."
2040,Die Straße gleicht einem Flickenteppich.
2041,"Die Studie wirft mehr Fragen auf, als sie beantwortet."
2042,Die Stückzahl ist begrenzt.
2043,Die Surfschule beginnt bereits um acht Uhr.
2044,Die Südseite des Bürogebäudes ist komplett verglast.
2045,Die Tragödie war doch vorhersehbar.
2046,Die Tropfsteinhöhle schimmerte in allen Farben.
2047,"Die Truhe müsste auch mal wieder abgetaut werden, seufzt Dietmar."
2048,Die Truppe wird heute zehn Kilometer marschieren.
2049,Die Truppen ziehen sich zurück.
2050,Die Täterin wurde offenbar unterbrochen.
2051,Die Tür ist von innen verriegelt.
2052,Die Tür oder der Fahrer?
2053,Die U-Bahn verkehrt teilweise auf dem Mittelstreifen der Autobahn.
2054,Die Uhr geht falsch.
2055,Die Umwandlung ist verlustbehaftet.
2056,Die Umzugskartons sind bereits alle gepackt.
2057,"Die Urne darf nicht geöffnet werden, bis die Auszählung beginnt."
2058,Die Valenzschale eines Atoms beeinflusst dessen chemische Eigenschaften.
2059,Die Variablen können beliebig vertauscht werden.
2060,Die Venus liegt zwischen Merkur und Erde.
2061,Die Veranstaltung verursacht aus meiner Sicht zu viel Trubel.
2062,Die Verantwortlichen weisen alle Vorwürfe zurück.
2063,Die Verbesserungsvorschläge sind für uns nur begrenzt brauchbar.
2064,"Die Vergangenheit hat gezeigt, dass Prognosen oft falsch liegen."
2065,Die Verhandlungen finden unter Ausschluss der Öffentlichkeit statt.
2066,Die Verletzungen sind nicht lebensgefährlich.
2067,Die Verlockung war am Ende doch zu groß.
2068,Die Vermittlungsgebühr für den Makler hätte sie sich gerne gespart.
2069,Die Verstopfung ist wirklich sehr hartnäckig.
2070,Die Verteilung ist hier mit einem Histogramm visualisiert.
2071,Die Viecher sind nicht leicht zu bändigen.
2072,"Die Vierbeiner wühlten im Sand, als würden sie etwas Bestimmtes suchen."
2073,Die Vorgaben sind aber nicht in Stein gemeißelt.
2074,Die Vorschrift ist ein Papiertiger.
2075,Die Vorwürfe sind völlig absurd.
2076,"Die Vulkanisierflüssigkeit sorgt dafür, dass sich der Flicken mit dem Reifen verbindet."
2077,Die Wahl fällt ihr schwer.
2078,Die Wartungsintervalle wurden stets eingehalten.
2079,Die Weihnachtsgeschichte beginnt mit einer Volkszählung.
2080,Die Weinsammlung des Restaurants ist eine der größten weltweit.
2081,Die Weißeritz ist ein Zufluss der Elbe.
2082,Die Weltgesundheitsorganisation empfiehlt maximal fünfzig Gramm zugesetzten Zucker am Tag.
2083,Die Werbung vermittelt einen falschen Eindruck.
2084,Die Werkstatt hat sich diversifiziert und repariert jetzt mehrere Automarken.
2085,Die Wertgegenstände wurden vorübergehend beschlagnahmt.
2086,Die Wespe hat offenbar noch nicht genug vom Nektar.
2087,"Die Wiedergabe wurde kurz pausiert, damit man sich besser verstand."
2088,Die Winkelhalbierende unterteilt das Winkelfeld in zwei deckungsgleiche Teile.
2089,Die Wissenschaft steht vor einem Rätsel.
2090,Die Wolga ist der längste Fluss Europas.
2091,"Die Wunde wird verheilen, aber eine Narbe wird bleiben."
2092,Die Würfel sind gefallen.
2093,Die Yoga-Lehrerin nimmt eine unmöglich aussehende Pose ein.
2094,"Die Zahnräder sind schräg verzahnt, denn so sind immer mehrere Zähne im Eingriff."
2095,"Die Zahnärztin versuchte vergeblich, den hartnäckigen Belag zu entfernen."
2096,Die Zeichenkodierung kommt nicht mit Umlauten klar.
2097,Die Zeit ist abgelaufen.
2098,"Die Zeit vergeht wie im Fluge, stellte Jasmin fest."
2099,Die Zentrale Dienstvorschrift ist nicht in allgemeinverständlicher Sprache gehalten.
2100,Die Zeremonie wurde feierlich vom Rektor eröffnet.
2101,Die Zukunft sieht strahlend aus.
2102,Die Zuschauer feiern die Kollegenwitze in den Kommentaren.
2103,Die abgeschnittenen Äste hatten sie zuvor alle durch den Häcksler gezogen.
2104,Die alte Klapperkiste?
2105,Die andere Prozedur berechnet die inverse Projektionsmatrix.
2106,"Die anderen Fahrgäste versuchten möglichst unbeteiligt dreinzublicken, so als hätten sie nichts bemerkt."
2107,Die anderen sind schon beim Frühstück auf der Terrasse.
2108,Die bei den Apollo-Missionen eingesetzten Bordcomputer hatten weniger Rechenleistung als heutige Taschenrechner.
2109,Die beiden Hölzer wurden verleimt und zum Trocknen einige Stunden nicht angerührt.
2110,Die beiden haben im großen Stil Kiwis von der Plantage geklaut.
2111,"Die beiden prügeln sich, dass die Fetzen fliegen."
2112,Die beiden sind irgendwie ein süßes Paar.
2113,Die bekannteste Kommune in Schleswig-Holstein heißt Wacken.
2114,Die chinesische Stadt Shenzhen gilt als „Werkbank der Welt“.
2115,Die deutsche Sprache verwendet unglaublich viele Kofferwörter.
2116,"Die drei Aggregatzustände fest, flüssig und gasförmig kennen Sie bereits."
2117,Die drei Rabauken hatten schon wieder die nächste Rauferei begonnen.
2118,Die durchschnittliche Wartezeit beträgt derzeit fünfunddreißig Minuten.
2119,Die dänische Minderheit in Schleswig-Holstein ist von der Fünfprozenthürde ausgenommen.
2120,"Die dümmsten Fragen kommen mal wieder von den Lehrämtlern, die sich als schlechte Schüler erwiesen haben."
2121,Die einleitenden Worte hatten ihn verwirrt.
2122,Die empirisch erhobenen Daten lassen eine solche Schlussfolgerung nicht zu.
2123,Die ersten Hybridantriebe aus Diesel- und Elektromotor wurden in U-Booten verbaut.
2124,"Die ersten Torpedos schossen genau in die Richtung, in die sie abgefeuert wurden."
2125,Die freigewordenen Ressourcen sollen dann in Forschung und Entwicklung fließen.
2126,"Die fünf großen Städte der Vereinigten Arabischen Emirate sind Abu Dhabi, Dubai, Schardscha, Adschman und Al-Ain."
2127,Die ganz Harten probieren es trotzdem ohne.
2128,Die ganze Aktion ist vor allem ein Testballon.
2129,Die ganze Konversation war ihm unangenehm.
2130,Die ganze Straße wurde von den blinkenden Blaulichtern ausgeleuchtet.
2131,Die ganze Szene ist einfach nur albern.
2132,Die genauen Details sind offenbar Verschlusssache.
2133,Die gröbsten Brocken werden hier bereits ausgesiebt.
2134,Die größten Streitpunkte sind noch ungeklärt.
2135,"Die größten Städte Englands sind London, Birmingham und Manchester."
2136,"Die größten Städte der USA sind New York, Los Angeles und Chicago."
2137,Die heutigen Billigprodukte bestehen doch quasi zu einhundert Prozent aus Plastik.
2138,Die höchste Leistung liefert jedoch ein anderer Muskel.
2139,"Die iterativ vertiefende Tiefensuche ist das schlauste, was man in diesem Fall machen kann."
2140,"Die junge Polizistin machte den Eindruck, als müsste sie sich vor ihren älteren Kollegen erst noch beweisen."
2141,Die kleine Stadt entwickelte sich schnell zu einem Handelszentrum zwischen Ost und West.
2142,Die kostenlose Brücke wurde von reichen Bürgern errichtet.
2143,Die letzte Interaktion war erfolgreich.
2144,Die letzte Interaktion war nicht erfolgreich.
2145,Die linke Wange prägte ein Muttermal.
2146,Die maximale Leistung wird bei einem leicht fetten Gemisch erzielt.
2147,Die meiste Zeit ist der Tisch im Keller.
2148,Die meisten Keime werden im Magen durch die Säure abgetötet.
2149,Die meisten Kosenamen sind einfach nur peinlich.
2150,"Die meisten Politiker wollen nicht an die Macht, um sich für eine Sache einzusetzen."
2151,"Die meisten davon werden an Person, Geschlecht, Zeit, Kasus oder Numerus angepasst."
2152,Die meisten verkauften Getränke kommen in Einwegflaschen.
2153,Die minimalen Systemanforderungen werden gerade so erfüllt.
2154,Die nachfolgende Sendung ist für Zuschauer unter sechzehn Jahren nicht geeignet.
2155,Die nackte Angst stand ihm ins Gesicht geschrieben.
2156,Die nächste Dürre wird gewiss kommen.
2157,Die nächste Sitzung beginnt erst um fünfzehn Uhr.
2158,Die nächste Sonnenfinsternis ist erst in vierzehn Jahren.
2159,"Die nützen einem freilich nichts, wenn die Batterie leer ist."
2160,Die paar Groschen kannst du behalten.
2161,"Die richtige Balance zwischen Aufmerksamkeit und Zurückhaltung zu finden, gleicht oft einem Drahtseilakt."
2162,Die roten Zahlen gehen vor allem auf die Strafzahlungen an den Konkurrenten zurück.
2163,Die schmutzigsten Sachen kommen zuletzt ins Wasser.
2164,"Die schwache Wechselwirkung beeinflusst, welche Atomkerne stabil sind."
2165,Die schweren Sachen bitte nach unten!
2166,Die stammen noch von früher.
2167,Die türkische befindet sich gleich neben der slowakischen Botschaft.
2168,Die verdächtige Person kooperiert nicht.
2169,Die vielen Neubauten sind das neue Aushängeschild der Stadt.
2170,Die vier Hauptakteure werden in dem Papier namentlich genannt.
2171,"Die vier Takte heißen ansaugen, verdichten, arbeiten und ausstoßen."
2172,"Die vier größten Städte Chinas sind Shanghai, Peking, Guangzhou und Shenzhen."
2173,"Die weiteren Haltestellen sind Essen, Wattenscheid und Bochum."
2174,Die werberelevante Zielgruppe der Vierzehn- bis Neunundvierzig-jährigen gibt sich mit Schwarzweißfernsehen nicht zufrieden.
2175,Die zoologische Einordnung der Spezies ist seit Jahrzehnten umstritten.
2176,Die zwei Jahre im Ausland haben dich sehr verändert.
2177,Die zweite Brücke durfte von jedem überquert werden.
2178,"Die zweite Brücke wurde von der Stadt finanziert, um Steuern zu erheben."
2179,Die zweite Maus bekommt den Käse.
2180,Die zwölf- und vierzehnjährigen Kinder jedoch sprechen akzentfrei deutsch.
2181,Die Ärmste!
2182,Die Ökonomen werden langsam übermütig.
2183,Die Überschrift ist reiner Clickbait.
2184,Dies bitte zum Kalender hinzufügen.
2185,Dies führt zu Truppenabzügen aus der Stadt.
2186,Dies hier bestellen.
2187,"Dies ist Zaubertinte, die man erst sieht, wenn man sie mit UV-Licht bestrahlt."
2188,Dies ist bereits das dritte Quartal mit roten Zahlen.
2189,Dies ist das Elixier der ewigen Jugend.
2190,"Dies ist das einzige Kaufhaus der Stadt, in dem es noch einen Paternosteraufzug gibt."
2191,Dies ist das einzige vom Feuer verschonte Gebäude.
2192,"Dies ist der letzte Aufruf für Passagier Meier, schallte es aus dem Lautsprecher."
2193,Dies ist ein sehr bekanntes Beispiel einer optischen Täuschung.
2194,Dies ist ein sehr sonniger Ort.
2195,Dies ist eine allgemeine Verkehrskontrolle.
2196,Dies ist keine gute Alternative.
2197,"Dies ist nicht gewoben, sondern gestrickt worden."
2198,Dies ist original Lübecker Marzipan.
2199,Dies ist schlecht für die örtliche Wirtschaft.
2200,Dies ist sehr gut für den örtlichen Tourismus.
2201,Dies lässt sich am einfachsten an einem Beispiel erklären.
2202,Dies machte sie noch reicher.
2203,Dies tut man in Form von IP-Adressen.
2204,Diese Aktion bitte rückgängig machen.
2205,Diese Aktion rückgängig machen.
2206,Diese Aktion wiederholen.
2207,Diese Ansicht ist falsch.
2208,Diese Antwort wollte ich hören.
2209,Diese Anwendung bitte auf die Leinwand projizieren.
2210,Diese App installieren.
2211,Diese Art von Schrammen sind ein eindeutiger Beweis für Kannibalismus.
2212,Diese Außenwirkung hält Atomkerne zusammen.
2213,Diese Behauptung musst du besser belegen.
2214,Diese Erfindung könnte das Ende aller Krankheiten bedeuten.
2215,Diese Frage muss jede digitale Assistentin verstehen.
2216,Diese Funktion installieren.
2217,Diese Interaktion war erfolgreich.
2218,Diese Interaktion war nicht erfolgreich.
2219,Diese Investition wird sich nicht auszahlen.
2220,"Diese Kaminstreichhölzer sind überaus praktisch, auch für Kerzen im Glas."
2221,"Diese Kneipe ist wirklich legendär, schwärmt Claudia."
2222,Diese Kontaktlinsen verleihen dir eine neue Augenfarbe.
2223,Diese Kurve ist eigentlich eine Gerade.
2224,"Diese Leute haben, vorsichtig ausgedrückt, ein nicht mehr zeitgemäßes Frauenbild."
2225,Diese Lüge erzählt man jedem Kind.
2226,Diese Mod fügt hauptsächlich hochauflösende Texturen hinzu.
2227,Diese Möchtegern-Rapper kann man doch alle in der Pfeife rauchen.
2228,"Diese Partei kann man nicht wählen, weil sie durch und durch korrupt ist."
2229,Diese Probleme können mit einer Steuer auf Öl gelöst werden.
2230,Diese Provokation konnte Maja nicht auf sich sitzen lassen.
2231,Diese Prozedur muss auf Herz und Nieren getestet werden.
2232,Diese Pumpe ist kompatibel zum Autoventil und zum Fahrradventil.
2233,Diese Schreibweise ist mir neu.
2234,Diese Stiefel möchte ich gerne umtauschen.
2235,Diese Verhaltensmuster erinnert mich an jemanden.
2236,Diese Woche ernähre ich mich rein vegetarisch.
2237,Diese alten Topflappen halten kaum Hitze ab.
2238,Diese flieht als Aufwind nach oben und gibt dem Greifvogel Auftrieb.
2239,Diese ganzen Logikfehler in der Handlung sind doch offensichtlich!
2240,Diese oszilliert ähnlich einer Feder zwischen kinetischer Energie und starker Wechselwirkung.
2241,Diese wundersamen Gewächse reichern mit der Zeit giftige Metalle aus dem Boden an.
2242,Diese Übung stärkt vor allem die Bauchmuskeln.
2243,Diesen Gesichtsausdruck kenne ich von deiner Schwester.
2244,Diesen Innensechskant zieht man am besten mit einer Knarre fest.
2245,"Diesen Moment muss man nutzen, um sich loszureißen."
2246,"Diesen Zickenkrieg ertrage ich nicht länger, platzte es dem Vater heraus."
2247,Diesen perfekten Fall gibt es in der Realität nicht.
2248,Dieser Anblick zog zahlreiche Neugierige an.
2249,Dieser Ansatz blieb ohne Erfolg.
2250,Dieser Ansatz wird erfolglos bleiben.
2251,Dieser Code gehört den verantwortlichen Entwicklern gehörig um die Ohren gehauen.
2252,Dieser Fehler ist mir bei meinem letzten Versuch unterlaufen.
2253,Dieser Husten hört sich nach Raucherlunge an.
2254,Dieser Kleintransporter sieht verdächtig aus.
2255,Dieser Kreis ist jetzt doch eher ein Osterei geworden.
2256,"Dieser Laser ist so stark, dass man damit Metall schneiden kann."
2257,Dieser Preiskampf ist nur mit Kampfpreisen unter der Rentabilitätsgrenze zu gewinnen.
2258,Dieser Projektor ist kaputt.
2259,Dieser Remix gefällt Gerald nicht so gut.
2260,Dieser Schicksalsschlag war eine Zäsur in ihrem Leben.
2261,Dieser Verbreitungsweg ist bisher von keiner einzigen Krankheit bekannt.
2262,Dieser Whisky ist gepanscht.
2263,Dieser einzelne Diamant ist so kostbar wie dreiundvierzig Goldbarren.
2264,"Dieser für den Linksverkehr gebaute Rolls-Royce ist so hoch automatisiert, dass man ihn als linksautonom bezeichnen kann."
2265,Dieser neumodische Kram funktioniert doch sowieso nie.
2266,Dieser perfide Angriff basiert auf gezinkten Primzahlen.
2267,Dieses Abführmittel ist echt übles Zeug.
2268,Dieses Bild bitte auf den großen Monitor projizieren.
2269,"Dieses Buch Anna empfehlen, per SMS."
2270,Dieses Exemplar zeigt bereits Resistenzen gegen drei der sieben Wirkstoffe.
2271,"Dieses Experiment beweist, dass unsere Sprache viel redundante Information enthält."
2272,Dieses Fach ist für Reinigungsmittel.
2273,Dieses Fahrrad hat keine Rücktrittbremse.
2274,Dieses Gebäude war über Jahrzehnte die Zentrale des illegalen Imperiums.
2275,Dieses Jahr hat die Grippewelle einen Bogen um Henrik gemacht.
2276,Dieses Kunstwerk ist mehr als nur ein Bild.
2277,Dieses Laster möchte ich Maximilian nicht aufbürden.
2278,Dieses Lernpensum ist auf Dauer nicht auszuhalten.
2279,Dieses Lied mit Sebastian teilen.
2280,Dieses Lied per E-Mail mit Johanna teilen.
2281,Dieses Motiv zieht sich wie ein roter Faden durch die ganze Geschichte.
2282,Dieses Problem kann gelöst werden.
2283,Dieses Präparat ist brandgefährlich.
2284,Dieses Verhaltensmuster erinnert mich an jemanden.
2285,Dieses alte Versprechen hat schon damals nicht gestimmt.
2286,Dieses diabolische Grinsen sagt alles.
2287,Dieses zwanzig Millionen Euro teure Projekt ist nun abgeschlossen.
2288,Dieter ist ein Koffeinjunkie.
2289,Dietmar trägt jetzt Kontaktlinsen.
2290,Digital bedeutet zeit- und wertdiskret.
2291,Digital ist nicht das Gleiche wie online.
2292,Dili ist die Hauptstadt von Osttimor.
2293,Dimitri hat uns eine Nachricht hinterlassen.
2294,Dir sind deine Sachen verrutscht.
2295,Dir stehen doch alle Möglichkeiten offen
2296,Dir stehen doch alle Möglichkeiten offen!
2297,Dir wird schon noch irgendetwas einfallen.
2298,"Direkt an der Autobahn zu tanken, ist teuer."
2299,Direkt neben dem Altpapier.
2300,Dirk fühlt sich emotional nicht verstanden.
2301,"Dirk hat so eine kalte Art, die mich jedes Mal frösteln lässt."
2302,Diverse Kleingartenvereine haben ihre Mitglieder zu Protesten gegen das Bauprojekt aufgerufen.
2303,Doch Nele will sich nicht mit fremden Federn schmücken.
2304,Doch Torben blieb stumm.
2305,Doch auch Ballaststoffe sind wichtiger als es ihr Name vermuten lässt.
2306,Doch dann flog die Tür auf und unterbrach ihn.
2307,Doch das Gerücht hat sich in Windeseile herumgesprochen.
2308,Doch gibt es.
2309,Doch nun schlägt der stellvertretende Bürgermeister plötzlich ganz andere Töne an.
2310,Doch ohne weitere Maßnahmen lässt sich der Verfall nicht aufhalten.
2311,"Doch sei gewarnt, das Pendel wird eines Tages mit voller Wucht zurückschwingen"
2312,"Doch sei gewarnt, das Pendel wird eines Tages mit voller Wucht zurückschwingen!"
2313,"Doch wie sich gerade zeigt, ist das Thema aktueller denn je."
2314,Dodoma ist die Hauptstadt von Tansania.
2315,Doha ist die Hauptstadt von Katar.
2316,"Dora sagte, sie sei hundemüde."
2317,Dora sucht noch eine Mitfahrgelegenheit nach Kiel.
2318,Doris möchte den Posten wegen ihrer Kompetenz bekommen und nicht bloß als Quotenfrau dastehen.
2319,Dorothea legte das Lesezeichen hinein und klappte das Buch zu.
2320,"Dort Reklame zu schalten, lohnt sich daher doppelt."
2321,Dort befindet sich noch immer eine ungesicherte Unfallstelle.
2322,Dort führt eine schmale Brücke über den Bach.
2323,Dort geht es zur Höhle hinab.
2324,Dort gelten etwas andere Benimmregeln.
2325,Dort gewähren wir Ihnen einen einmaligen Blick hinter die Kulissen.
2326,"Dort können Sie die Bank nicht hinstellen, weil Sie sonst den Notausgang versperren."
2327,Dort stand: Sie sind unser hunderttausendster Kunde.
2328,Dort treffen die Sympathisanten auf Gleichgesinnte.
2329,Dort wird schon morgens um zehn auf den Tischen getanzt.
2330,"Dr. Schneider träumt davon, eine eigene Praxis zu eröffnen, doch noch fehlt ihm das nötige Kapital."
2331,Dreh mir bitte keinen Strick daraus.
2332,Drei Stufen auf einmal nehmend hetzte sie die Treppe hinauf.
2333,Dreimal im Jahr gibt es unangekündigte Kontrollen.
2334,"Drum esse jeder was er kann, nur nicht seinen Nebenmann."
2335,Drück mal auf die Tube.
2336,Dschibuti ist die Hauptstadt von Dschibuti.
2337,Du Schlingel
2338,Du Schlingel!
2339,"Du benutzt ständig irgendwelche Redewendungen, die ich nicht kenne."
2340,Du bist aber auch dusselig.
2341,"Du bist der einzige, der mir jetzt noch helfen kann."
2342,"Du bist die letzte, die Schuldgefühle haben sollte."
2343,Du bist dran.
2344,Du bist ein Feigling!
2345,Du bist ein Krümelmonster.
2346,"Du bist erst fertig, wenn du aufgeräumt hast."
2347,Du bist ganz bleich im Gesicht.
2348,Du bist ja ganz blass um die Nase.
2349,Du bist jederzeit willkommen.
2350,Du bist spät dran.
2351,Du bist wohl nicht mehr ganz dicht!
2352,"Du bist, was du isst."
2353,Du brauchst dich überhaupt nicht zu rechtfertigen.
2354,Du darfst mich auch Juli nennen.
2355,Du hast da einen Fussel im Haar.
2356,Du hast dies an einem einzigen Nachmittag gelöst?
2357,Du hast eine Minute Zeit.
2358,Du hast eine Zecke am Rücken.
2359,Du hast einfach keine Fantasie.
2360,"Du hast es doch nicht etwa verschlampt?, hakte Adam nach."
2361,Du hast es versprochen
2362,Du hast es versprochen!
2363,"Du hast meine uneingeschränkte Unterstützung, versicherte Hermann."
2364,Du hast mich von Anfang bis Ende belogen.
2365,Du hast wohl Hummeln im Hintern!
2366,Du hängst da wie ein Schluck Wasser in der Kurve.
2367,Du hättest dein Gesicht sehen sollen
2368,Du hättest dein Gesicht sehen sollen!
2369,"Du interpretierst da zu viel hinein, meint Oskar."
2370,Du kannst da doch nicht in Jogginghose erscheinen.
2371,Du kannst die Existenz des Stigmas nicht völlig außer Acht lassen.
2372,"Du kannst dir aussuchen, ob du lieber einen Maulschlüssel oder einen Ringschlüssel nehmen willst."
2373,Du kannst doch mit öffentlichen Verkehrsmitteln nach Hagen fahren 
2374,Du kannst doch mit öffentlichen Verkehrsmitteln nach Schwerin fahren 
2375,Du kannst mich duzen.
2376,Du kannst mit dem Bus nach Frankfurt (Oder) fahren
2377,Du kannst mit dem Bus nach Frankfurt an der Oder fahren.
2378,Du kannst mit dem Bus nach Würzburg fahren
2379,Du kennst ihn doch.
2380,Du kommst wie gerufen.
2381,Du machst das verkehrt.
2382,Du machst mich ganz wuschig.
2383,Du machst trotzdem mit.
2384,Du meinst Heuschrecken und Mehlwürmer?
2385,Du meinst wohl an wen?
2386,"Du musst dich etwas nach vorn beugen, dann kannst du es sehen."
2387,"Du musst dich für eines entscheiden, gibt Edith vor."
2388,Du musst jetzt ganz tapfer sein.
2389,Du musst mir eines versprechen.
2390,Du sabberst.
2391,Du saugst Wissen auf wie ein Schwamm.
2392,Du solltest hier schleunigst verschwinden.
2393,"Du solltest nicht so viel über andere lästern, sagt Rudolf zu Moni."
2394,Du sprichst mir aus der Seele.
2395,Du stehst am Anfang einer langen Reise.
2396,"Du sägst an dem Ast, auf dem du sitzt."
2397,Du traust dich ja eh nicht.
2398,Du warst alleine in Fürth?
2399,Du warst alleine in Rostock?
2400,Du wirfst dir selber Schatten.
2401,"Du wirst dich nicht vom Fleck rühren, kapiert?"
2402,"Du würdest viel Zahnpasta sparen, wenn du die Tube aufschneiden würdest."
2403,"Du zappelst wie ein Fisch, nur dass du nicht so glitschig bist."
2404,Dublin ist die Hauptstadt von Irland.
2405,Duck und weg!
2406,"Dumm ist, wer etwas weiß, aber trotz des besseren Wissens falsch handelt."
2407,"Dunkle Materie hat eine Masse, entzieht sich jedoch jeglicher elektromagnetischer Wechselwirkung."
2408,Durch den Flux-Kompensator sind Zeitreisen überhaupt erst möglich.
2409,Durch den Kauf der neuen Anlage sind die Schulden dramatisch gestiegen.
2410,Durch den Lüftungsschacht kommt man unbemerkt an den Wächtern vorbei.
2411,Durch den Reichtum ist Mark ein anderer Mensch geworden.
2412,Durch den Schaden an der Isolation wurde der Kurzschluss verursacht.
2413,Durch den neuen Duschkopf sparen Sie bis zu vierzig Prozent Wasser und damit letztlich auch Gas.
2414,Durch den unnötigen Einsatz von Antibiotika werden Resistenzen herangezüchtet.
2415,Durch die Erkennung von Symmetrien kann der Suchraum erheblich eingeschränkt werden.
2416,Durch die Fortschritte der Medizin und die Alterung der Gesellschaft steigt der Bedarf immer weiter.
